URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context (4),Context (5),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Has Biological Taxonomy,Has taxonomic identifier,Has anatomical identification,Has fusion character,Has physiological sex determination,Archaeological Horizon,Articulation,Completeness Of Element,Completeness Of Portion,Fusion Distal,Fusion Proximal,Osteo Id,Pathology,Proximaldistal,Sex,Symmetry,Taxonomic Id,Principal Author / Analyst,Fragmentation,Number Of Elements,Number Of Fragments
http://opencontext.org/subjects/23320245-2AB3-4DA5-812B-4D5B90E9D32F,https://n2t.net/ark:/28722/k2h41js3d,Bone K5c15-4,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,IV,Square K5c,,http://opencontext.org/subjects/FE4EA670-5327-44EE-001B-1C19709B882E,37.08335,30.579436,-12500,-12100,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T06:02:55Z,Sheep/goat,Sheep or goat,tooth of lower jaw,,,15,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Loose mandibular tooth,No pathology,Not applicable,Nonidentified,Right,Ovis/Capra,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/1A45C506-0625-4852-5C48-B1830D13E20D,https://n2t.net/ark:/28722/k26w96f3m,Bone I5d11-68,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,IV,Square I5d,,http://opencontext.org/subjects/ADC2504C-F861-47E4-A023-A4A71A5CBB3B,37.08335,30.579436,-12500,-12100,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:54:27Z,Sheep/goat,Sheep or goat,tooth of lower jaw,,,11,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Loose mandibular tooth,No pathology,Not applicable,Nonidentified,Left,Ovis/Capra,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/EC40274C-B9CE-4070-CBFB-3199B1DB29DE,https://n2t.net/ark:/28722/k2r20x91t,Bone L5d29-27,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,XI,Square L5d,,http://opencontext.org/subjects/5B04315C-289A-4366-C434-67945FD9378E,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T06:06:18Z,Sheep/goat,Sheep or goat,tooth of lower jaw,,,29,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Loose mandibular tooth,No pathology,Not applicable,Nonidentified,Left,Ovis/Capra,Levent Atici,Not applicable,2,2
http://opencontext.org/subjects/201691BB-D72C-496A-2893-434530B8968F,https://n2t.net/ark:/28722/k2qc00k11,Bone L5d30-19,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,XI,Square L5d,,http://opencontext.org/subjects/5B04315C-289A-4366-C434-67945FD9378E,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T06:06:24Z,Sheep/goat,Sheep or goat,tooth of lower jaw,,,30,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Loose mandibular tooth,No pathology,Not applicable,Nonidentified,Left,Ovis/Capra,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/D8AC31F5-E324-429D-A5D2-63351A7CA860,https://n2t.net/ark:/28722/k2dj5dw9q,Bone J5d21-12,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square J5d,,http://opencontext.org/subjects/22CE88AD-4417-4AA7-1930-94E3A93DBB8D,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:59:03Z,Sheep/goat,Sheep or goat,tooth of lower jaw,,,21,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Loose mandibular tooth,No pathology,Not applicable,Nonidentified,Left,Ovis/Capra,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/72B8EAA1-D642-494B-5B8B-202AC6861AE1,https://n2t.net/ark:/28722/k2q814w9x,Bone K5d19-50,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square K5d,,http://opencontext.org/subjects/9AB5AE08-7EF3-429E-EA1C-78CDE08FBB79,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T06:03:53Z,Sheep/goat,Sheep or goat,tooth of lower jaw,,,19,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Loose mandibular tooth,No pathology,Not applicable,Nonidentified,Left,Ovis/Capra,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/F34544FA-36E4-490E-B92F-7320D5F69F4D,https://n2t.net/ark:/28722/k29w0933w,Bone K5d27-1,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,X,Square K5d,,http://opencontext.org/subjects/B35F1D95-2880-45C7-5E58-FA7B91B62B83,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T06:03:57Z,Sheep/goat,Sheep or goat,tooth of lower jaw,,,27,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Loose mandibular tooth,No pathology,Not applicable,Nonidentified,Right,Ovis/Capra,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/6541E285-DFC8-49E2-5D39-360FF2351069,https://n2t.net/ark:/28722/k2q23wd8z,Bone K5c20-6,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square K5c,,http://opencontext.org/subjects/377EAFA5-E622-43FF-849F-C3F8FD8A1C2F,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T06:03:00Z,Sheep/goat,Sheep or goat,tooth of lower jaw,,,20,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Loose mandibular tooth,No pathology,Not applicable,Nonidentified,Left,Ovis/Capra,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/3A910ABF-AFD4-4D9C-8318-1F1981E0AFAF,https://n2t.net/ark:/28722/k2vt1gv6x,Bone J5d14-1,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,IV,Square J5d,,http://opencontext.org/subjects/A2DE2FBE-F9C1-48DA-9AE5-E84A82E2280F,37.08335,30.579436,-12500,-12100,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:58:40Z,Capra aegagrus,Capra aegagrus,tibia,Distal epiphysis fused,,14,Separate,"> 1/4, but < 1/2","> 1/2, but < 3/4",Fused,Not applicable,Tibia,No pathology,Distal,Nonidentified,Left,Capra aegagrus,Levent Atici,End splinter,1,1
http://opencontext.org/subjects/3FBF1E28-C33D-4579-1771-B686C253DC9A,https://n2t.net/ark:/28722/k2sb3x34s,Bone J5c 22-30,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VII,Square J5c,,http://opencontext.org/subjects/B48DEDB5-2C3E-45D1-B541-319DC56A74C2,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T05:58:05Z,Ovis orientalis,Ovis orientalis,humerus,Distal epiphysis fused,,22,Separate,"> 1/4, but < 1/2",Complete,Fused,Not applicable,Humerus,No pathology,Distal,Nonidentified,Right,Ovis orientalis,Levent Atici,End + shaft,1,1
