URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context (4),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Has Biological Taxonomy,Has taxonomic identifier,Has anatomical identification,Has fusion character,Has physiological sex determination,Archaeological Horizon,Articulation,Completeness Of Element,Completeness Of Portion,Fragmentation,Fusion Distal,Fusion Proximal,Osteo Id,Pathology,Proximaldistal,Sex,Symmetry,Taxonomic Id,Principal Author / Analyst,Number Of Elements,Number Of Fragments
"http://opencontext.org/subjects/D49F8210-DA1E-453C-4A43-AC7BF73552DE","https://n2t.net/ark:/28722/k23n24r7r","Bone D1418-3","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square D14","http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:42:39Z","Sheep/goat","Sheep or goat","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Not applicable","Right","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/A3419319-1D4A-4F8E-C41E-F57BA7659B10","https://n2t.net/ark:/28722/k2m906f9z","Bone G1218-495","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square G12","http://opencontext.org/subjects/F184C346-EA55-474C-578A-716DC88263B1","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:50:52Z","Sheep/goat","Sheep or goat","fused metacarpal bones 3 and 4","Distal epiphysis fused","","18","Separate","< 1/4 of estimated size","Complete","End only","Fused","Not applicable","Metacarpus III + IV","No pathology","Distal","Nonidentified","Left","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/240C6CD4-1B36-48F2-67FF-5CCE15B668B9","https://n2t.net/ark:/28722/k2nz85205","Bone D1418-2","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square D14","http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:42:39Z","Sheep/goat","Sheep or goat","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Not applicable","Right","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/20629591-1068-474C-F462-8D8853F3130D","https://n2t.net/ark:/28722/k2x925w0k","Bone D1418-10","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square D14","http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:42:41Z","Sheep/goat","Sheep or goat","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Not applicable","Left","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/6628BEC1-37E5-48A0-C5E2-B69E6A9D5369","https://n2t.net/ark:/28722/k2r20x71x","Bone D1418-12","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square D14","http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:42:41Z","Sheep/goat","Sheep or goat","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Not applicable","Left","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/0E3C5C64-8CD6-4FB0-C75F-F9148612A80D","https://n2t.net/ark:/28722/k2zs2qq9f","Bone D1418-489","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square D14","http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:43:48Z","Sheep/goat","Sheep or goat","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Left","Ovis/Capra","Levent Atici","0","1"
"http://opencontext.org/subjects/2F6AC628-08C5-4A89-B1F3-852D81095E52","https://n2t.net/ark:/28722/k2d21wx7n","Bone G1217-100","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.1","Square G12","http://opencontext.org/subjects/FD270D9E-CCBA-4D85-09BC-17A64C6BDEB5","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:49:36Z","Sheep/goat","Sheep or goat","tooth of lower jaw","","","17","Separate","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Loose mandibular tooth","No pathology","Not applicable","Nonidentified","Left","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/33822F7D-7650-40D4-22F5-29A425827D05","https://n2t.net/ark:/28722/k28052z5s","Bone G1317-371","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.1","Square G13","http://opencontext.org/subjects/8ECF8742-FA42-4AAF-AAD8-E336D618CBB7","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:52:41Z","Sheep/goat","Sheep or goat","tooth of lower jaw","","","17","Separate","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Loose mandibular tooth","No pathology","Not applicable","Nonidentified","Right","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/F63C5F5C-CC01-4093-7417-DBF71B4DFAFB","https://n2t.net/ark:/28722/k24b32j4c","Bone G1317-372","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.1","Square G13","http://opencontext.org/subjects/8ECF8742-FA42-4AAF-AAD8-E336D618CBB7","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:52:41Z","Sheep/goat","Sheep or goat","tooth of lower jaw","","","17","Separate","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Loose mandibular tooth","No pathology","Not applicable","Nonidentified","Right","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/720F87EF-6D47-492B-4C73-08574104C9C0","https://n2t.net/ark:/28722/k2q81944q","Bone D1418-494","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square D14","http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:43:49Z","Sheep/goat","Sheep or goat","tooth of lower jaw","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Loose mandibular tooth","No pathology","Not applicable","Nonidentified","Right","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/9099B2BA-F367-43F7-EAE3-9C66E2900E3E","https://n2t.net/ark:/28722/k2rv0jc8g","Bone G1218-164","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square G12","http://opencontext.org/subjects/F184C346-EA55-474C-578A-716DC88263B1","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:50:07Z","Sheep/goat","Sheep or goat","tooth of lower jaw","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Loose mandibular tooth","No pathology","Not applicable","Nonidentified","Right","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/5B99315E-36A7-4F2E-4B83-BD7B7824B8B3","https://n2t.net/ark:/28722/k2hd7t53p","Bone G1218-167","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square G12","http://opencontext.org/subjects/F184C346-EA55-474C-578A-716DC88263B1","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:50:07Z","Sheep/goat","Sheep or goat","tooth of lower jaw","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Loose mandibular tooth","No pathology","Not applicable","Nonidentified","Left","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/D567CE15-5397-473E-F069-8B0E316C3362","https://n2t.net/ark:/28722/k2cn73b7b","Bone G1218-169","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square G12","http://opencontext.org/subjects/F184C346-EA55-474C-578A-716DC88263B1","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:50:08Z","Sheep/goat","Sheep or goat","tooth of lower jaw","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Loose mandibular tooth","No pathology","Not applicable","Nonidentified","Left","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/FE58BD14-0E0F-4344-9B44-102004544058","https://n2t.net/ark:/28722/k20r9rg9b","Bone G1319-2190","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square G13","http://opencontext.org/subjects/FAD839CC-1E99-40F2-6269-B5B558C48CCB","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:53:28Z","Sheep/goat","Sheep or goat","mandible","","","19","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Right","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/D26D56EF-79B4-45B2-42F5-0454C7CF702B","https://n2t.net/ark:/28722/k2474c423","Bone F1420-740","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square F14","http://opencontext.org/subjects/51B32DE9-7BD2-4103-5716-4438EE4CE3BA","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:49:01Z","Sheep/goat","Sheep or goat","tooth of lower jaw","","","20","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Loose mandibular tooth","No pathology","Not applicable","Nonidentified","Right","Ovis/Capra","Levent Atici","1","1"
