Early BCE/CE,Late BCE/CE,Biological Taxonomy,Taxonomic Identifier,Anatomical Identification,Element,Taxonomic ID,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Capra aegagrus,Capra aegagrus,scapula,Scapula,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Martes martes,Martes martes,femur,Femur,Martes martes,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Cervus elaphus Linnaeus, 1758",Cervus elaphus,mandible,Mandible with teeth,Cervus elaphus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,scapula,Scapula,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Capra aegagrus,Capra aegagrus,calcaneus,Calcaneus,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Capra aegagrus,Capra aegagrus,calcaneus,Calcaneus,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes,radius bone,Radius,Vulpes vulpes,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Ovis orientalis,Ovis orientalis,fused metacarpal bones 3 and 4,Metacarpus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metacarpal bones 3 and 4,Metacarpus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metacarpal bones 3 and 4,Metacarpus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metacarpal bones 3 and 4,Metacarpus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metacarpal bones 3 and 4,Metacarpus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metacarpal bones 3 and 4,Metacarpus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metacarpal bones 3 and 4,Metacarpus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Ovis orientalis,Ovis orientalis,fused metacarpal bones 3 and 4,Metacarpus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metacarpal bones 3 and 4,Metacarpus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Lepus europaeus,Lepus europaeus,scapula,Scapula,Lepus europaeus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Capra aegagrus,Capra aegagrus,scapula,Scapula,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-12500,-12100,"Dama dama (Linnaeus, 1758)",Dama dama,talus,Astragalus,Dama dama,,,,,,,,,,,,,,,,,,,,
-12500,-12100,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,radius bone,Radius,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sus scrofa,Sus scrofa,tooth of lower jaw,Loose mandibular tooth,Sus scrofa,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,radius bone,Radius,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Ovis orientalis,Ovis orientalis,tibia,Tibia,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,humerus,Humerus,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Capra aegagrus,Capra aegagrus,tibia,Tibia,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,humerus,Humerus,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,humerus,Humerus,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tibia,Tibia,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Ovis orientalis,Ovis orientalis,humerus,Humerus,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Ovis orientalis,Ovis orientalis,humerus,Humerus,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Capra aegagrus,Capra aegagrus,humerus,Humerus,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Ovis orientalis,Ovis orientalis,tibia,Tibia,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tibia,Tibia,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tibia,Tibia,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,humerus,Humerus,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes,humerus,Humerus,Vulpes vulpes,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,scapula,Scapula,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,radius bone,Radius,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,humerus,Humerus,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,humerus,Humerus,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,scapula,Scapula,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,tibia,Tibia,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tibia,Tibia,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tibia,Tibia,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tibia,Tibia,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,tibia,Tibia,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,tibia,Tibia,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tibia,Tibia,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,talus,Astragalus,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,talus,Astragalus,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,ulna,Ulna,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,talus,Astragalus,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,ulna,Ulna,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,tooth of lower jaw,Loose mandibular tooth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,tooth of lower jaw,Loose mandibular tooth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,tooth of lower jaw,Loose mandibular tooth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,tooth of lower jaw,Loose mandibular tooth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sus scrofa,Sus scrofa,talus,Astragalus,Sus scrofa,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,Mandible with teeth,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Spermophilus citellus,Spermophilus citellus,mandible,Mandible with teeth,Citellus citellus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of upper jaw,Loose maxillar tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,Mandible with teeth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Felis silvestris Schreber 1777,Felis silvestris,mandible,Mandible with teeth,Felis silvestris,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Felis silvestris Schreber 1777,Felis silvestris,mandible,Mandible with teeth,Felis silvestris,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes,mandible,Mandible with teeth,Vulpes vulpes,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,Mandible with teeth,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,proximal phalanx,Phalanx anterior/posterior 1,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-12500,-12100,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-12500,-12100,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,tooth of lower jaw,Loose mandibular tooth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capreolus,Capreolus,proximal phalanx,Phalanx anterior/posterior 1,Capreolus capreolus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,middle phalanx,Phalanx anterior/posterior 2,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,proximal phalanx,Phalanx anterior/posterior 1,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,middle phalanx,Phalanx anterior/posterior 2,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Alectoris chukar (J. E. Gray, 1830)",Alectoris chukar,humerus,Humerus,Alectoris chukar,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,fused metacarpal bones 3 and 4,Metacarpus III + IV,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Dama dama (Linnaeus, 1758)",Dama dama,fused metacarpal bones 3 and 4,Metacarpus III + IV,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Lynx lynx,Lynx lynx,mandible,Mandible with teeth,Lynx lynx,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,radius bone,Radius,Dama dama,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sus scrofa,Sus scrofa,middle phalanx,Phalanx anterior/posterior 2,Sus scrofa,,,,,,,,,,,,,,,,,,,,
